trip_distance,passenger_count,avg(fare_amount)
0.86,6.0,6.2970268055718135
0.87,1.0,6.376351785690569
0.87,2.0,6.368820191857745
0.87,3.0,6.373958927552767
0.87,4.0,6.358846660808436
0.87,5.0,6.286199499463711
0.87,6.0,6.313366013071895
0.88,1.0,6.4240449681328196
0.88,2.0,6.419872543352601
0.88,3.0,6.385715922107674
0.88,4.0,6.37336338270015
0.88,5.0,6.365706486602974
0.88,6.0,6.378922987840185
0.89,1.0,6.467706475622631
0.89,2.0,6.460265959015185
0.89,3.0,6.458662175168431
0.89,4.0,6.421494072914337
0.89,5.0,6.373078580663698
0.89,6.0,6.38280606844643
0.9,1.0,6.622011725868216
0.9,2.0,6.72348764559473
0.9,3.0,6.7902873614667065
0.9,4.0,6.924850532789816
0.9,5.0,6.496953734848004
0.9,6.0,6.4434129550432875
0.9,7.0,5.5
0.91,1.0,6.549602566673351
0.91,2.0,6.570712340672074
0.91,3.0,6.540132973597996
0.91,4.0,6.562169149868537
0.91,5.0,6.501171426495167
0.91,6.0,6.498056537102474
0.92,1.0,6.598824055547458
0.92,2.0,6.573937749773927
0.92,3.0,6.596284464727135
0.92,4.0,6.58329775648007
0.92,5.0,6.535037810586965
0.92,6.0,6.522864589503613
0.93,1.0,6.634945948104855
0.93,2.0,6.6377798561992165
0.93,3.0,6.595882577201677
0.93,4.0,6.613732543377063
0.93,5.0,6.6027387335168815
0.93,6.0,6.63411095636026
0.94,1.0,6.695267369372482
0.94,2.0,6.680697094473119
0.94,3.0,6.631603075444498
0.94,4.0,6.6739960758665795
0.94,5.0,6.616030103480715
0.94,6.0,6.648296593186373
0.94,7.0,70.0
0.95,1.0,6.722329279452527
0.95,2.0,6.703403790087464
0.95,3.0,6.698381536104194
0.95,4.0,6.712094460384021
0.95,5.0,6.642466822794692
0.95,6.0,6.695732727707387
0.96,1.0,6.767660859986676
0.96,2.0,6.75950259793333
0.96,3.0,6.7629398875869295
0.96,4.0,6.756889763779528
0.96,5.0,6.710004307559767
0.96,6.0,6.713359273670558
0.97,1.0,6.7973289324959705
0.97,2.0,6.803965313827278
0.97,3.0,6.816097537138389
0.97,4.0,6.780246153846154
0.97,5.0,6.747188960280374
0.97,6.0,6.781650317368725
0.98,1.0,6.862631345986184
0.98,2.0,6.882633581085035
0.98,3.0,6.845291768144179
0.98,4.0,6.851979537366548
0.98,5.0,6.799274884640738
0.98,6.0,6.808553488923113
